cycle,bases,mean_phred,q20_percent,q30_percent
452,24,34.333333,91.666667,87.500000
453,24,33.041667,91.666667,79.166667
454,24,31.500000,87.500000,75.000000
455,24,37.208333,100.000000,95.833333
456,24,36.958333,100.000000,100.000000
457,24,37.375000,100.000000,100.000000
458,24,37.375000,100.000000,100.000000
459,24,37.041667,100.000000,95.833333
460,24,37.625000,100.000000,100.000000
461,24,35.583333,95.833333,91.666667
462,24,37.791667,100.000000,100.000000
463,24,36.666667,100.000000,100.000000
464,24,37.333333,100.000000,100.000000
465,24,36.208333,100.000000,91.666667
466,24,37.375000,100.000000,100.000000
467,24,37.000000,100.000000,100.000000
468,24,35.625000,95.833333,91.666667
469,24,36.625000,100.000000,95.833333
470,24,37.708333,100.000000,100.000000
471,24,37.583333,100.000000,100.000000
